Table,Key,en,pt,es
Combat,stage.CloudRidge.name,Cloud Ridge,Crista das Nuvens,Cresta de las Nubes
Combat,stage.CloudRidge.description,A Frost Drake circles overhead. The elite Thunder Eagles escort it.,Um Dragão de Gelo circula no alto. As Águias do Trovão de elite o escoltam.,Un Dragón de Escarcha sobrevuela en círculos. Las Águilas del Trueno de élite lo escoltan.
Combat,stage.FrozenSummitBoss.name,Frozen Summit — Boss,Cume Congelado — Chefe,Cumbre Helada — Jefe
Combat,stage.FrozenSummitBoss.description,[BOSS] The Mountain King commands peak and storm alike. Nothing survives up here.,[CHEFE] O Rei da Montanha comanda tanto o pico quanto a tempestade. Nada sobrevive aqui.,[JEFE] El Rey de la Montaña comanda tanto la cumbre como la tormenta. Nada sobrevive aquí.
Combat,stage.LavaFields.name,Lava Fields,Campos de Lava,Campos de Lava
Combat,stage.LavaFields.description,The ground burns. Lava Salamanders are the least of your worries.,O solo queima. As Salamandras de Lava são a menor das suas preocupações.,El suelo arde. Las Salamandras de Lava son la menor de tus preocupaciones.
Combat,stage.AshenCaldera.name,Ashen Caldera,Caldeira Cinzenta,Caldera de Cenizas
Combat,stage.AshenCaldera.description,Fire Imps move faster than anything you've faced. They hit twice before you blink.,Diabretes de Fogo se movem mais rápido do que tudo que você já enfrentou. Eles atacam duas vezes antes que você pisque.,Los Diablillos de Fuego se mueven más rápido que nada que hayas enfrentado. Golpean dos veces antes de que parpadees.
Combat,stage.ObsidianPeak.name,Obsidian Peak,Pico de Obsidiana,Pico de Obsidiana
Combat,stage.ObsidianPeak.description,Obsidian Golems and Hellhounds. One won't die; the other will kill you first.,Golens de Obsidiana e Cães do Inferno. Um não morre; o outro te mata primeiro.,Gólems de Obsidiana y Sabuesos Infernales. Uno no muere; el otro te mata primero.
Combat,stage.FireBasin.name,Fire Basin,Bacia de Fogo,Cuenca de Fuego
Combat,stage.FireBasin.description,The Volcanic Drake and its elite guard. The last test before the Dragon.,O Dragão Vulcânico e sua guarda de elite. O último teste antes do Dragão.,El Dragón Volcánico y su guardia de élite. La última prueba antes del Dragón.
Combat,stage.MagmaCoreFinalBoss.name,Magma Core — Final Boss,Núcleo de Magma — Chefe Final,Núcleo de Magma — Jefe Final
Combat,stage.MagmaCoreFinalBoss.description,[FINAL BOSS] The Inferno Dragon. Absolute peak threat. Bring your best animals — fully fed and petted.,[CHEFE FINAL] O Dragão do Inferno. Ameaça máxima absoluta. Traga seus melhores animais — bem alimentados e acariciados.,[JEFE FINAL] El Dragón del Infierno. Amenaza máxima absoluta. Trae tus mejores animales — bien alimentados y acariciados.
Dialogue,quest.clear_sunny_fields.title,Trouble in Sunny Fields,Problemas nos Campos Ensolarados,Problemas en los Campos Soleados
Dialogue,quest.clear_sunny_fields.description,Something's been spooking the animals near Sunny Fields. Take your team out there and clear it up.,Algo tem assustado os animais perto dos Campos Ensolarados. Leve sua equipe até lá e resolva isso.,Algo ha estado asustando a los animales cerca de los Campos Soleados. Lleva a tu equipo allí y resuélvelo.
Dialogue,quest.clear_sunny_fields.objective0,Clear Sunny Fields,Limpar os Campos Ensolarados,Despejar los Campos Soleados
Dialogue,quest.egg_collector.title,Egg Collector,Colecionador de Ovos,Coleccionista de Huevos
Dialogue,quest.egg_collector.description,Your chickens are laying — collect a few eggs for the pantry.,Suas galinhas estão pondo ovos — colete alguns para a despensa.,Tus gallinas están poniendo huevos — recolecta algunos para la despensa.
Dialogue,quest.egg_collector.objective0,Collect Eggs,Coletar Ovos,Recolectar Huevos
Dialogue,quest.first_harvest.title,First Harvest,Primeira Colheita,Primera Cosecha
Dialogue,quest.first_harvest.description,Till some soil, plant a Carrot seed, and bring in your first harvest.,Lavre a terra, plante uma semente de Cenoura e traga sua primeira colheita.,Cultiva la tierra, planta una semilla de Zanahoria y trae tu primera cosecha.
Dialogue,quest.first_harvest.objective0,Harvest a Carrot,Colher uma Cenoura,Cosechar una Zanahoria
Dialogue,quest.get_to_know_maren.title,Getting to Know Maren,Conhecendo a Maren,Conociendo a Maren
Dialogue,quest.get_to_know_maren.description,Maren's new in town too. Stop by and say hello.,Maren também é nova na cidade. Passe por lá e diga olá.,Maren también es nueva en el pueblo. Pasa a saludarla.
Dialogue,quest.get_to_know_maren.objective0,Talk to Maren,Falar com a Maren,Hablar con Maren
Dialogue,quest.welcome_harvest.title,Welcome Harvest,Colheita de Boas-Vindas,Cosecha de Bienvenida
Dialogue,quest.welcome_harvest.description,Harvest 3 carrots to get your farm started.,Colha 3 cenouras para começar sua fazenda.,Cosecha 3 zanahorias para comenzar tu granja.
Dialogue,quest.welcome_harvest.objective0,Harvest 3 carrots,Colher 3 cenouras,Cosechar 3 zanahorias
Dialogue,quest.first_victory.title,First Victory,Primeira Vitória,Primera Victoria
Dialogue,quest.first_victory.description,Win your first battle in the Meadow.,Vença sua primeira batalha na Pradaria.,Gana tu primera batalla en la Pradera.
Dialogue,quest.first_victory.objective0,Win a Meadow battle,Vencer uma batalha na Pradaria,Ganar una batalla en la Pradera
Dialogue,shop.general_store.title,General Store,Loja Geral,Tienda General
Dialogue,dialogue.shop.friendship_discount,Friendship Discount: {0}% off,Desconto de Amizade: {0}% off,Descuento de Amistad: {0}% de descuento
Dialogue,dialogue.shop.gold_label,Gold: {0},Ouro: {0},Oro: {0}
Dialogue,dialogue.shop.price,{0}g,{0}g,{0}g
Dialogue,dialogue.shop.unlimited_stock,∞,∞,∞
Dialogue,dialogue.shop.stock_count,x{0},x{0},x{0}
Dialogue,dialogue.gift.choose_title,Choose a gift,Escolha um presente,Elige un regalo
Dialogue,dialogue.gift.close,Close,Fechar,Cerrar
Dialogue,dialogue.gift.no_giftable_items,No giftable items,Nenhum item para presentear,Sin artículos para regalar
Dialogue,dialogue.gift.item_row,{0} x{1} (+{2} relationship),{0} x{1} (+{2} relacionamento),{0} x{1} (+{2} relación)
Dialogue,dialogue.gift.give,Give,Dar,Dar
Dialogue,dialogue.gift.no_inventory_found,No inventory found,Inventário não encontrado,Inventario no encontrado
Dialogue,dialogue.seedshop.no_seeds_available,No seeds available.,Nenhuma semente disponível.,No hay semillas disponibles.
Dialogue,dialogue.relationship.codex_header,Codex,Códex,Códice
Dialogue,dialogue.relationship.no_info,No information available yet.,Nenhuma informação disponível ainda.,Aún no hay información disponible.
Dialogue,dialogue.relationship.score,{0:F0} / 100,{0:F0} / 100,{0:F0} / 100
Dialogue,dialogue.relationship.beloved,Beloved,Amado,Amado
Dialogue,dialogue.relationship.close_friend,Close Friend,Amigo Próximo,Amigo Cercano
Dialogue,dialogue.relationship.friend,Friend,Amigo,Amigo
Dialogue,dialogue.relationship.acquaintance,Acquaintance,Conhecido,Conocido
Dialogue,dialogue.relationship.tense,Tense,Tenso,Tenso
Dialogue,dialogue.relationship.hostile,Hostile,Hostil,Hostil
Dialogue,dialogue.seedshop.title,Seed Shop,Loja de Semente,Tienda de Semillas
Dialogue,dialogue.seedshop.gold_zero,Gold: 0,Ouro: 0,Oro: 0
Dialogue,dialogue.seedshop.close,Close,Fechar,Cerrar
Dialogue,dialogue.seedshop.gold_label,Gold: {0},Ouro: {0},Oro: {0}
Dialogue,dialogue.seedshop.item_row,{0}  — {1}g,{0}  — {1}g,{0}  — {1}g
Dialogue,dialogue.seedshop.buy,Buy,Comprar,Comprar
Farming,farming.building.cost_progress,{0}: {1} / {2},{0}: {1} / {2},{0}: {1} / {2}
Farming,farming.building.built,✓ Built,✓ Construído,✓ Construido
Farming,farming.building.cannot_afford,Cannot afford,Não pode pagar,No se puede pagar
Farming,farming.buildingshop.title,Farm Buildings,Construções da Fazenda,Construcciones de la Granja
Farming,farming.buildingshop.build,Build,Construir,Construir
Farming,farming.buildingshop.gold_cost,{0} gold,{0} ouro,{0} oro
Farming,farming.buildingshop.extra_cost,"\n+ {0}x {1}","\n+ {0}x {1}","\n+ {0}x {1}"
Farming,farming.buildingshop.purchase_failed,Purchase failed — missing references.,Falha na compra — referências ausentes.,Compra fallida — referencias faltantes.
Farming,farming.buildingshop.construction_complete,Construction complete!,Construção concluída!,¡Construcción completa!
Farming,farming.buildingshop.cannot_build,Cannot build.,Não é possível construir.,No se puede construir.
Farming,farming.buildingshop.not_enough_gold,Not enough gold.,Ouro insuficiente.,Oro insuficiente.
Farming,farming.buildingshop.missing_materials,Missing {0}x {1}.,Faltam {0}x {1}.,Faltan {0}x {1}.
Farming,farming.buildingshop.gold_label,Gold: {0}g,Ouro: {0}g,Oro: {0}g
Farming,farming.soil.wrong_season,{0} can't grow in {1}!,{0} não pode crescer em {1}!,¡{0} no puede crecer en {1}!
Farming,farming.soil.bonus,Bonus {0}!,Bônus {0}!,¡Bono {0}!
Farming,farming.soil.ready,{0} - Ready!,{0} - Pronto!,¡{0} - Listo!
Farming,farming.soil.days_left,{0} - {1}d,{0} - {1}d,{0} - {1}d
Farming,farming.soil.empty_marker,!,!,¡
Farming,farming.sellbox.title,Sell Box,Caixa de Venda,Caja de Venta
Farming,farming.sellbox.total_value,Total Value: {0} coins,Valor Total: {0} moedas,Valor Total: {0} monedas
Farming,farming.sleep.title,Sleep Until Morning?,Dormir Até de Manhã?,¿Dormir Hasta la Mañana?
Farming,farming.sleep.confirm,Sleep,Dormir,Dormir
Farming,farming.sleep.cancel,Cancel,Cancelar,Cancelar
Farming,farming.sleep.current_time,"Current: Day {0}, {1}\nYou will wake up tomorrow at 6:00 AM","Atual: Dia {0}, {1}\nVocê vai acordar amanhã às 6:00","Actual: Día {0}, {1}\nDespertarás mañana a las 6:00"
Farming,farming.sleep.wake_tomorrow,You will wake up tomorrow morning,Você vai acordar amanhã de manhã,Despertarás mañana por la mañana
Farming,farming.sleep.sellbox_summary,SellBox: {0} items will be sold for {1}g,Caixa de Venda: {0} itens serão vendidos por {1}g,Caja de Venta: {0} artículos se venderán por {1}g
Farming,farming.sleep.sellbox_empty,SellBox: No items to sell,Caixa de Venda: Nenhum item para vender,Caja de Venta: Sin artículos para vender
Farming,farming.sleep.trough_summary,Feeding Troughs: {0} animal{1} will be fed,Comedouros: {0} animal{1} será(ão) alimentado(s),Comederos: {0} animal{1} será(n) alimentado(s)
Farming,farming.sleep.trough_empty,Feeding Troughs: No food available,Comedouros: Nenhuma comida disponível,Comederos: Sin comida disponible
Farming,farming.sleep.autosave_on,Game will be auto-saved,O jogo será salvo automaticamente,El juego se guardará automáticamente
Farming,farming.sleep.autosave_off,Auto-save not available,Save automático não disponível,Guardado automático no disponible
Farming,building.Silo.name,Silo,Silo,Silo
Farming,building.Silo.description,A grain silo that lets you work the whole farm at once.,Um silo de grãos que permite trabalhar toda a fazenda de uma vez.,Un silo de grano que te permite trabajar toda la granja a la vez.
Farming,building.Silo.effect,Harvesting one ready crop now harvests every other ready crop on the farm too.,Colher uma plantação pronta agora colhe todas as outras plantações prontas da fazenda também.,Cosechar un cultivo listo ahora cosecha también todos los demás cultivos listos de la granja.
Farming,building.Workshop.name,Workshop,Oficina,Taller
Farming,building.Workshop.description,A tinkerer's workshop for getting more out of every harvest.,Uma oficina de inventor para aproveitar melhor cada colheita.,Un taller de inventor para sacar más provecho de cada cosecha.
Farming,building.Workshop.effect,Chance to refund the planted seed whenever you harvest a crop.,Chance de reembolsar a semente plantada sempre que você colher uma plantação.,Posibilidad de reembolsar la semilla plantada cada vez que cosechas un cultivo.
Farming,crop.Cabbage.name,Cabbage,Repolho,Repollo
Farming,crop.Carrot.name,Carrot,Cenoura,Zanahoria
Farming,crop.MysteryPlant.name,Mystery Plant,Planta Misteriosa,Planta Misteriosa
Farming,crop.Pumpkin.name,Pumpkin,Abóbora,Calabaza
Farming,crop.Radish.name,Radish,Rabanete,Rábano
Farming,crop.Tomato.name,Tomato,Tomate,Tomate
UI_Common,ui_common.achievement_unlocked,ACHIEVEMENT UNLOCKED,CONQUISTA DESBLOQUEADA,LOGRO DESBLOQUEADO
MapEditor,mapeditor.tile_label,Tile: {0},Tile: {0},Tile: {0}
MapEditor,mapeditor.tool_label,Tool: {0},Ferramenta: {0},Herramienta: {0}
MapEditor,mapeditor.pos_label,"Pos: {0}, {1}","Pos: {0}, {1}","Pos: {0}, {1}"
MapEditor,mapeditor.map_label,Map: {0},Mapa: {0},Mapa: {0}
MapEditor,mapeditor.tiles_label,Tiles: {0},Tiles: {0},Tiles: {0}
Minimap,minimap.zoom_label,Zoom: {0:F1}x,Zoom: {0:F1}x,Zoom: {0:F1}x
Minimap,minimap.coords_label,"X: {0:F1}, Y: {1:F1}","X: {0:F1}, Y: {1:F1}","X: {0:F1}, Y: {1:F1}"
Minimap,minimap.mode_label,Mode: {0},Modo: {0},Modo: {0}
UI_Common,ui_common.time_label,Time: {0},Hora: {0},Hora: {0}
UI_Common,ui_common.season_day_label,{0} {1},{0} {1},{0} {1}
UI_Common,ui_common.season.spring,Spring,Primavera,Primavera
UI_Common,ui_common.season.summer,Summer,Verão,Verano
UI_Common,ui_common.season.fall,Fall,Outono,Otoño
UI_Common,ui_common.season.winter,Winter,Inverno,Invierno
UI_Common,ui_common.day_label,Day {0},Dia {0},Día {0}
UI_Common,ui_common.world_map_title,World Map,Mapa-Múndi,Mapa Mundial
Worldmap,worldmap.biome_completed,{0}/{1} completed,{0}/{1} completo,{0}/{1} completado
LoadingTips,loadingtips.tip01,Tip: Water your crops regularly to prevent them from dying!,Dica: Regue suas plantações regularmente para evitar que morram!,Consejo: ¡Riega tus cultivos regularmente para evitar que se marchiten!
LoadingTips,loadingtips.tip02,Tip: Use the SellBox to automatically sell items when you sleep.,Dica: Use a Caixa de Venda para vender itens automaticamente quando você dormir.,Consejo: Usa la Caja de Venta para vender artículos automáticamente cuando duermas.
LoadingTips,loadingtips.tip03,Tip: Different crops grow in different seasons.,Dica: Plantações diferentes crescem em estações diferentes.,Consejo: Diferentes cultivos crecen en diferentes estaciones.
LoadingTips,loadingtips.tip04,Tip: Talk to NPCs to learn more about farming techniques.,Dica: Converse com NPCs para aprender mais sobre técnicas de cultivo.,Consejo: Habla con los NPC para aprender más sobre técnicas de cultivo.
LoadingTips,loadingtips.tip05,Tip: Upgrade your tools to work more efficiently.,Dica: Melhore suas ferramentas para trabalhar com mais eficiência.,Consejo: Mejora tus herramientas para trabajar de forma más eficiente.
LoadingTips,loadingtips.tip06,Tip: Save your game regularly to avoid losing progress.,Dica: Salve seu jogo regularmente para evitar perder o progresso.,Consejo: Guarda tu partida regularmente para evitar perder el progreso.
LoadingTips,loadingtips.tip07,Tip: Explore the world to find new seeds and resources.,Dica: Explore o mundo para encontrar novas semente e recursos.,Consejo: Explora el mundo para encontrar nuevas semillas y recursos.
Tutorial,tutorial.till_soil.title,Till the soil,Are o solo,Ara la tierra
Tutorial,tutorial.till_soil.description,"Welcome to your farm!\n\nEquip the <b>Hoe</b> from your hotbar, then <b>left-click</b> on a soil tile to till it.","Bem-vindo à sua fazenda!\n\nEquipe a <b>Enxada</b> da sua barra de itens e, em seguida, <b>clique com o botão esquerdo</b> em um bloco de terra para arar.","¡Bienvenido a tu granja!\n\nEquipa la <b>Azada</b> desde tu barra de acceso rápido, luego haz <b>clic izquierdo</b> en una parcela de tierra para ararla."
Tutorial,tutorial.plant_seed.title,Plant a seed,Plante uma semente,Planta una semilla
Tutorial,tutorial.plant_seed.description,"Great! Now equip a <b>Seed</b> and <b>left-click</b> the tilled soil to plant it.","Ótimo! Agora equipe uma <b>Semente</b> e <b>clique com o botão esquerdo</b> no solo arado para plantá-la.","¡Genial! Ahora equipa una <b>Semilla</b> y haz <b>clic izquierdo</b> en la tierra arada para plantarla."
Tutorial,tutorial.water_crop.title,Water the crop,Regue a plantação,Riega el cultivo
Tutorial,tutorial.water_crop.description,"Crops need water to grow. Equip the <b>Watering Can</b> and <b>left-click</b> the planted soil.","As plantações precisam de água para crescer. Equipe o <b>Regador</b> e <b>clique com o botão esquerdo</b> no solo plantado.","Los cultivos necesitan agua para crecer. Equipa la <b>Regadera</b> y haz <b>clic izquierdo</b> en la tierra plantada."
Tutorial,tutorial.pet_animal.title,Pet an animal,Acaricie um animal,Acaricia a un animal
Tutorial,tutorial.pet_animal.description,"Visit an animal and press <b>E</b> to pet it. Happy animals produce more!","Visite um animal e pressione <b>E</b> para acariciá-lo. Animais felizes produzem mais!","Visita a un animal y presiona <b>E</b> para acariciarlo. ¡Los animales felices producen más!"
Tutorial,tutorial.sleep.title,Sleep to advance the day,Durma para avançar o dia,Duerme para avanzar el día
Tutorial,tutorial.sleep.description,"Time passes when you sleep. Walk to the <b>bed</b> and press <b>E</b> to sleep.","O tempo passa quando você dorme. Caminhe até a <b>cama</b> e pressione <b>E</b> para dormir.","El tiempo pasa cuando duermes. Camina hasta la <b>cama</b> y presiona <b>E</b> para dormir."
Tutorial,tutorial.harvest.title,Harvest a crop,Colha uma plantação,Cosecha un cultivo
Tutorial,tutorial.harvest.description,"Your crops have grown! Walk to a <b>ready crop</b> and press <b>E</b> or left-click to harvest.","Suas plantações cresceram! Caminhe até uma <b>plantação pronta</b> e pressione <b>E</b> ou clique com o botão esquerdo para colher.","¡Tus cultivos han crecido! Camina hasta un <b>cultivo listo</b> y presiona <b>E</b> o haz clic izquierdo para cosechar."
Tutorial,tutorial.step_progress,Step {0}/{1}: {2},Passo {0}/{1}: {2},Paso {0}/{1}: {2}
Dialogue,dialogue.maren.default.start,"Good morning! The garden beds are calling. What can I do for you?","Bom dia! Os canteiros estão chamando. O que posso fazer por você?","¡Buenos días! Los huertos están llamando. ¿Qué puedo hacer por ti?"
Dialogue,dialogue.maren.default.start.choice0,"Tell me about yourself.","Fale-me sobre você.","Háblame de ti."
Dialogue,dialogue.maren.default.start.choice1,"What do you think of this valley?","O que você pensa deste vale?","¿Qué opinas de este valle?"
Dialogue,dialogue.maren.default.start.choice2,"Give me a planting tip.","Me dê uma dica de plantio.","Dame un consejo de siembra."
Dialogue,dialogue.maren.default.start.choice3,"What are you keeping so close to your heart?","O que você está guardando tão perto do coração?","¿Qué guardas tan cerca de tu corazón?"
Dialogue,dialogue.maren.default.topic_about,"I'm a farmer's daughter from the eastern valley. I learned to plant before I learned to write. But the drought spares no one — I ended up here after losing everything.","Sou filha de agricultores do vale do leste. Aprendi a plantar antes de aprender a escrever. Mas a seca não poupa ninguém — acabei aqui depois de perder tudo.","Soy hija de agricultores del valle del este. Aprendí a plantar antes de aprender a escribir. Pero la sequía no perdona a nadie — terminé aquí después de perderlo todo."
Dialogue,dialogue.maren.default.topic_about.choice0,"That must have been hard to start over.","Deve ter sido difícil recomeçar.","Debe haber sido difícil empezar de nuevo."
Dialogue,dialogue.maren.default.topic_about.choice1,"You've adapted well.","Você se adaptou bem.","Te has adaptado bien."
Dialogue,dialogue.maren.default.about_restart,"It was. But the soil here has something special about it. It welcomed me in a way the eastern valley never did. Maybe this is what I call home now.","Foi. Mas a terra aqui tem algo especial. Ela me acolheu de um jeito que o vale do leste nunca fez. Talvez isto seja o que eu chame de casa agora.","Lo fue. Pero la tierra aquí tiene algo especial. Me acogió de una manera que el valle del este nunca hizo. Tal vez esto es lo que ahora llamo hogar."
Dialogue,dialogue.maren.default.about_adapted,"It took a while. Every soil is different — it has its own ways. But I learned to listen to what the land asks of me.","Levou um tempo. Cada solo é diferente — tem seus próprios jeitos. Mas aprendi a escutar o que a terra me pede.","Tomó un tiempo. Cada suelo es diferente — tiene sus propias maneras. Pero aprendí a escuchar lo que la tierra me pide."
Dialogue,dialogue.maren.default.topic_valley,"This valley has history. People come, plant, harvest and leave. Few stay. Something here keeps you — the land, the rhythm of the seasons, I don't know.","Este vale tem história. As pessoas vêm, plantam, colhem e vão. Poucas ficam. Algo aqui te mantém — a terra, o ritmo das estações, não sei.","Este valle tiene historia. La gente viene, planta, cosecha y se va. Pocos se quedan. Algo aquí te retiene — la tierra, el ritmo de las estaciones, no lo sé."
Dialogue,dialogue.maren.default.topic_valley.choice0,"Is there something mystical about this land?","Há algo místico nesta terra?","¿Hay algo místico en esta tierra?"
Dialogue,dialogue.maren.default.topic_valley.choice1,"I understand that feeling.","Eu entendo esse sentimento.","Entiendo ese sentimiento."
Dialogue,dialogue.maren.default.valley_mystic,"They say a druid blessed the deepest layers of soil here. I don't know if I believe it, but the plants grow too fast to just be the climate. Take good care of your beds' fertility — it's more valuable than it looks.","Dizem que um druida benzeu as camadas mais profundas da terra aqui. Não sei se acredito, mas as plantas crescem rápido demais para ser só o clima. Cuide bem da fertilidade dos seus canteiros — é mais valiosa do que parece.","Dicen que un druida bendijo las capas más profundas del suelo aquí. No sé si lo creo, pero las plantas crecen demasiado rápido para ser solo el clima. Cuida bien la fertilidad de tus huertos — es más valiosa de lo que parece."
Dialogue,dialogue.maren.default.valley_feel,"Good. That means you came to stay. The best harvests come from those who plant with intention.","Bom. Isso significa que você veio para ficar. As melhores colheitas vêm de quem planta com intenção.","Bien. Eso significa que vienes para quedarte. Las mejores cosechas vienen de quienes plantan con intención."
Dialogue,dialogue.maren.default.topic_tip,"Tip of the day: soil gets tired. Every harvest takes a little fertility away. The less fertile it is, the less you yield. Let the soil rest or use fertilizer — though I don't sell that yet.","Dica do dia: a terra cansa. Cada colheita tira um pouco da fertilidade. Quanto menos fértil, menor o rendimento. Deixe a terra descansar ou use fertilizante — embora eu ainda não venda isso.","Consejo del día: el suelo se cansa. Cada cosecha le quita un poco de fertilidad. Cuanto menos fértil, menor el rendimiento. Deja que el suelo descanse o usa fertilizante — aunque todavía no vendo eso."
Dialogue,dialogue.maren.default.topic_tip.choice0,"What about seasonal restrictions?","E quanto às restrições sazonais?","¿Qué hay de las restricciones estacionales?"
Dialogue,dialogue.maren.default.topic_tip.choice1,"Thanks for the tip!","Obrigado pela dica!","¡Gracias por el consejo!"
Dialogue,dialogue.maren.default.tip_season,"Every plant has its preferred season. Carrot and cabbage in Spring, tomato in Summer, pumpkin in Fall, radish in Spring or Fall. Try planting out of season and the land will refuse.","Cada planta tem sua estação preferida. Cenoura e repolho na Primavera, tomate no Verão, abóbora no Outono, rabanete na Primavera ou no Outono. Tente plantar fora de época e a terra vai recusar.","Cada planta tiene su estación preferida. Zanahoria y repollo en Primavera, tomate en Verano, calabaza en Otoño, rábano en Primavera u Otoño. Intenta plantar fuera de temporada y la tierra se negará."
Dialogue,dialogue.maren.default.topic_secret,"You asked... so I'll tell you. I have a seed in my pocket I've never planted. It was my father's. I don't know what plant it is — and I don't have the courage to find out, because if it dies, I'll lose the last thing I have left of him.","Você perguntou... então vou te contar. Tenho uma semente no bolso que nunca plantei. Era do meu pai. Não sei que planta é — e não tenho coragem de descobrir, porque se ela morrer, perco a última coisa que me resta dele.","Preguntaste... así que te lo diré. Tengo una semilla en el bolsillo que nunca he plantado. Era de mi padre. No sé qué planta es — y no tengo el coraje de averiguarlo, porque si muere, perderé lo último que me queda de él."
Dialogue,dialogue.maren.default.topic_secret.choice0,"You should plant it. It's what he would have wanted.","Você devia plantá-la. É o que ele teria querido.","Deberías plantarla. Es lo que él hubiera querido."
Dialogue,dialogue.maren.default.topic_secret.choice1,"Keep it as a memory. It belongs to her too.","Guarde como uma lembrança. Ela também pertence a você.","Guárdala como un recuerdo. También te pertenece."
Dialogue,dialogue.maren.default.secret_plant,"Maybe you're right. When I have the courage, you'll be the first to know. I promise. Thank you... truly.","Talvez você esteja certo. Quando eu tiver coragem, você será o primeiro a saber. Eu prometo. Obrigada... de verdade.","Tal vez tengas razón. Cuando tenga el coraje, serás el primero en saberlo. Lo prometo. Gracias... de verdad."
Dialogue,dialogue.maren.default.secret_keep,"You're... right too. Some things are better kept. But it's good to be able to talk about it with someone who understands.","Você... também está certo. Algumas coisas é melhor guardar. Mas é bom poder falar sobre isso com alguém que entende.","Tú... también tienes razón. Algunas cosas es mejor guardarlas. Pero es bueno poder hablar de esto con alguien que entiende."
Dialogue,dialogue.maren.beloved.start,"I trust you more than anyone in this valley. There's something I want to show you.","Eu confio em você mais do que em qualquer pessoa neste vale. Tem algo que eu quero te mostrar.","Confío en ti más que en nadie en este valle. Hay algo que quiero mostrarte."
Dialogue,dialogue.maren.beloved.secret_seed,"This seed... I found it in my father's coat pocket the day he died. I never knew what plant it was. I never had the courage to plant it — what if I lost the last thing I have left of him?","Esta semente... eu a encontrei no bolso do casaco do meu pai no dia em que ele morreu. Nunca soube que planta era. Nunca tive coragem de plantá-la — e se eu perder a última coisa que me resta dele?","Esta semilla... la encontré en el bolsillo del abrigo de mi padre el día que murió. Nunca supe qué planta era. Nunca tuve el coraje de plantarla — ¿y si pierdo lo último que me queda de él?"
Dialogue,dialogue.maren.beloved.secret_seed.choice0,"You should plant it. It's what he would have wanted.","Você devia plantá-la. É o que ele teria querido.","Deberías plantarla. Es lo que él hubiera querido."
Dialogue,dialogue.maren.beloved.secret_seed.choice1,"You don't have to plant it. Keep it as a memory.","Você não precisa plantá-la. Guarde como uma lembrança.","No tienes que plantarla. Guárdala como un recuerdo."
Dialogue,dialogue.maren.beloved.encourage_plant,"Maybe you're right. He loved watching things grow. When I have the courage, you'll be the first to know. Thank you... truly.","Talvez você esteja certo. Ele amava ver as coisas crescerem. Quando eu tiver coragem, você será o primeiro a saber. Obrigada... de verdade.","Tal vez tengas razón. A él le encantaba ver crecer las cosas. Cuando tenga el coraje, serás el primero en saberlo. Gracias... de verdad."
Dialogue,dialogue.maren.beloved.keep_memory,"You're... right too. Some things are better kept in the heart. But it's good to be able to talk about it with someone.","Você... também está certo. Algumas coisas é melhor guardar no coração. Mas é bom poder falar sobre isso com alguém.","Tú... también tienes razón. Algunas cosas es mejor guardarlas en el corazón. Pero es bueno poder hablar de esto con alguien."
Dialogue,dialogue.maren.beloved.gift_reward,"Accept this as a gift. I always keep a special batch of seeds for the day I find someone I can trust. That day has come.","Aceite isto como um presente. Eu sempre guardo um lote especial de semente para o dia em que encontrar alguém em quem possa confiar. Esse dia chegou.","Acepta esto como un regalo. Siempre guardo un lote especial de semillas para el día en que encuentre a alguien en quien pueda confiar. Ese día ha llegado."
Dialogue,dialogue.maren.friend.start,"Ah, you again! You know, few people bother to stop and talk. I'm glad you're different.","Ah, você de novo! Sabe, pouca gente se dá ao trabalho de parar para conversar. Fico feliz que você seja diferente.","¡Ah, tú de nuevo! Sabes, poca gente se molesta en detenerse a hablar. Me alegra que seas diferente."
Dialogue,dialogue.maren.friend.lore_reveal,"I ended up here after a drought that destroyed everything I planted in the eastern valley. I lost three harvests in a row. But the soil here... it received me differently.","Acabei aqui depois de uma seca que destruiu tudo que eu plantei no vale do leste. Perdi três colheitas seguidas. Mas a terra aqui... me recebeu de um jeito diferente.","Terminé aquí después de una sequía que destruyó todo lo que planté en el valle del este. Perdí tres cosechas consecutivas. Pero la tierra aquí... me recibió de manera diferente."
Dialogue,dialogue.maren.friend.lore_reveal.choice0,"What's so special about this soil?","O que há de tão especial nesta terra?","¿Qué tiene de especial esta tierra?"
Dialogue,dialogue.maren.friend.lore_reveal.choice1,"Didn't you feel like giving up?","Você não pensou em desistir?","¿No sentiste ganas de rendirte?"
Dialogue,dialogue.maren.friend.lore_soil,"There's something in the roots here, in the deepest layers. They say an ancient druid blessed the entire valley. I don't know if I believe in stories, but the plants grow too fast to just be luck.","Há algo nas raízes aqui, nas camadas mais profundas. Dizem que um druida antigo benzeu todo o vale. Não sei se acredito em histórias, mas as plantas crescem rápido demais para ser só sorte.","Hay algo en las raíces aquí, en las capas más profundas. Dicen que un druida antiguo bendijo todo el valle. No sé si creo en historias, pero las plantas crecen demasiado rápido para ser solo suerte."
Dialogue,dialogue.maren.friend.lore_persevere,"Many times. But my mother always said: the seed that survives winter blooms stronger. I ended up believing it.","Muitas vezes. Mas minha mãe sempre dizia: a semente que sobrevive ao inverno floresce mais forte. Acabei acreditando nisso.","Muchas veces. Pero mi madre siempre decía: la semilla que sobrevive el invierno florece más fuerte. Terminé creyéndolo."
